period,kategorie,merkmal,insgesamt,sgb2,jahr,monat,label
2025-01,Arbeitslose,15 bis unter 25 Jahre,373.0,148.0,2025,1,Arbeitslose | 15 bis unter 25 Jahre
2025-01,Arbeitslose,25 bis unter 50 Jahre,1900.0,848.0,2025,1,Arbeitslose | 25 bis unter 50 Jahre
2025-01,Arbeitslose,50 Jahre und älter,1470.0,474.0,2025,1,Arbeitslose | 50 Jahre und älter
2025-01,Arbeitslose,55 Jahre und älter,1114.0,307.0,2025,1,Arbeitslose | 55 Jahre und älter
2025-01,Arbeitslose,Abgang (12-Monatssumme),9197.0,3318.0,2025,1,Arbeitslose | Abgang (12-Monatssumme)
2025-01,Arbeitslose,Abgang (im Monat),573.0,204.0,2025,1,Arbeitslose | Abgang (im Monat)
2025-01,Arbeitslose,Arbeitslosenquote,3.2,1.3,2025,1,Arbeitslose | Arbeitslosenquote
2025-01,Arbeitslose,Ausländer,1300.0,760.0,2025,1,Arbeitslose | Ausländer
2025-01,Arbeitslose,Bestand,3743.0,1470.0,2025,1,Arbeitslose | Bestand
2025-01,Arbeitslose,Frauen,1558.0,690.0,2025,1,Arbeitslose | Frauen
2025-01,Arbeitslose,Langzeitarbeitslose,687.0,502.0,2025,1,Arbeitslose | Langzeitarbeitslose
2025-01,Arbeitslose,Männer,2185.0,780.0,2025,1,Arbeitslose | Männer
2025-01,Arbeitslose,Zugang (12-Monatssumme),9556.0,3260.0,2025,1,Arbeitslose | Zugang (12-Monatssumme)
2025-01,Arbeitslose,Zugang (im Monat),1073.0,271.0,2025,1,Arbeitslose | Zugang (im Monat)
2025-01,Arbeitslose,schwerbehinderte Menschen,324.0,116.0,2025,1,Arbeitslose | schwerbehinderte Menschen
2025-01,Arbeitsuchende,Bestand,5981.0,2794.0,2025,1,Arbeitsuchende | Bestand
2025-01,Grundsicherung für Arbeitsuchende,Bedarfsgemeinschaften (BG),,2797.30338102,2025,1,Grundsicherung für Arbeitsuchende | Bedarfsgemeinschaften (BG)
2025-01,Grundsicherung für Arbeitsuchende,Personen in Bedarfsgemeinschaften (PERS),,5488.03327359,2025,1,Grundsicherung für Arbeitsuchende | Personen in Bedarfsgemeinschaften (PERS)
2025-01,Grundsicherung für Arbeitsuchende,dar. Regelleistungsberechtigte (RLB),,5202.27047674,2025,1,Grundsicherung für Arbeitsuchende | dar. Regelleistungsberechtigte (RLB)
2025-01,Grundsicherung für Arbeitsuchende,dav. erwerbsfähige Leistungsberechtigte (ELB),,3730.59085177,2025,1,Grundsicherung für Arbeitsuchende | dav. erwerbsfähige Leistungsberechtigte (ELB)
