period,Arbeitslose (Bestand),Arbeitslosenquote (%),Langzeitarbeitslose,Unterbeschäftigungsquote (%),Bedarfsgemeinschaften,Personen in BG,Regelleistungsberechtigte (RLB),Erwerbsfähige Leistungsberechtigte (ELB),Nicht erwerbsfähige Leistungsberechtigte (NEF)
2025-01-01,1470.0,1.3,502.0,1.9,2797.30338102,5488.03327359,5202.27047674,3730.59085177,1471.67962497
2025-02-01,1382.0,1.2,502.0,1.8,2755.76866466,5434.99291135,5147.99291135,3710.21156804,1437.78134331
2025-03-01,1414.0,1.2,513.0,1.8,2781.43672754,5474.93361464,5178.93361464,3746.43394291,1432.49967173
2025-04-01,1457.0,1.3,526.0,1.8,2766.95906861,5421.14883362,5122.42456285,3701.23967002,1421.18489283
2025-05-01,1438.0,1.2,558.0,1.8,2707.55618214,5295.62926504,4989.62926504,3612.41887246,1377.21039258
2025-06-01,1509.0,1.3,551.0,1.8,2696.60575877,5275.53953574,4960.10209818,3584.21772455,1375.88437363
2025-07-01,1475.0,1.3,561.0,1.8,2616.92005382,5092.80859759,4788.46150855,3477.79810661,1310.66340194
2025-08-01,1587.0,1.4,585.0,1.8,2688.06065855,5267.86781157,4961.92912245,3593.65524463,1368.27387782
2025-09-01,1585.0,1.4,592.0,1.8,2669.28381333,5218.35009897,4934.14935761,3564.44743883,1369.70191877
2025-10-01,1519.0,1.3,606.0,1.7,2629.34803905,5120.19876632,4847.48576875,3499.3404433,1348.14532546
2025-11-01,1517.0,1.3,623.0,1.7,2632.77681496,5126.67877136,4839.95606261,3504.91585589,1335.04020672
2025-12-01,1466.0,1.3,610.0,1.7,2619.193501,5137.2707299,4838.0745289,3489.35303939,1348.72148951
2026-01-01,1551.0,1.3,655.0,1.7,2635.82843173,5141.58484699,4870.57157335,3517.27818068,1353.29339267
2026-02-01,1542.0,1.3,662.0,1.7,2666.87709574,5173.91606677,4877.05306268,3546.6768257,1330.37623698
2026-03-01,1543.0,1.3,677.0,1.7,2696.08041838,5225.96918587,4920.24152547,3576.48941497,1343.7521105
2026-04-01,1565.0,1.3,694.0,1.8,2703.29405001,5193.21251273,4890.97799123,3567.83565384,1323.14233739
2026-05-01,1552.0,1.3,714.0,1.7,2714.36631223,5214.82254224,4898.73293141,3572.7014193,1326.03151211
2026-06-01,1500.0,1.3,709.0,1.7,2673.35337327,5149.98600518,4841.2685966,3523.61950251,1317.64909409
